QUE_BUTTON_RESP	QUE_BUTTON_RT	BLOCK_INDEX	TRIAL_INDEX	SENT_BUTTON_RESP	SENT_BUTTON_RT	exp	item	verbtype	nountype	pptype	determiner	subjnumber	quant	entailment	sent	compq	correctans	incorrectans	leftans	rightans	c_bal
Right	2738191.42	4	108	-1	 2344.52	Hartshorne_filler-DE-some	20	NA	NA	NA	NA	NA	NA	NA	"If Mary meant some of the things in her opening statement, then the people will be happy."	"Would the things in the statement make people happy?"	Yes	No	No	Yes	1
Right	2748711.65	4	109	-1	 5165.60	Hartshorne_filler-UE-all	52	NA	NA	NA	NA	NA	NA	NA	"Angel checked all of the calculations for errors, and she turned in the exam."	"What were these calculations for?"	"A test"	"A research project"	"A research project"	"A test"	1
Left	2764600.72	4	110	-1	 6376.95	Sturt_filler	12	NA	NA	NA	NA	NA	NA	NA	"It was to John and Matt that the reporter revealed the interview questions."	"Was it the cameraman who leaked the questions?"	No	Yes	No	Yes	1
Left	2774168.44	4	111	-1	 2547.99	Sturt_filler	27	NA	NA	NA	NA	NA	NA	NA	"It was to each other that the bartenders wanted to give their experimental recipes."	"Did the bartenders hoard their recipes without sharing?"	No	Yes	No	Yes	1
Left	2783096.01	4	112	-1	 3285.62	Hartshorne_filler-UE-some	10	NA	NA	NA	NA	NA	NA	NA	"Mackenzie closed some of the windows in the old country house, and she turned on the heat."	"What did Mackenzie close?"	Windows	Doors	Windows	Doors	1
Right	2793383.36	4	113	-1	 5322.18	Sturt	37	NA	NA	conjunct	the	pl	NA	NA	"It was to^ Rick and Jason^ that^ the^ absolutely livid^ customers^ wanted^ the managers^ to give^ their sincerest apologies."	"Was this sentence about happy customers?"	No	Yes	Yes	No	1
Right	2804583.59	4	114	-1	 4678.24	Sturt	29	NA	NA	conjunct	the	pl	NA	NA	"It was to^ James and Albert^ that^ the^ very overworked^ shopkeepers^ needed^ the suppliers^ to provide^ the pricing infos."	"Is someone expecting customers to provide information?"	No	Yes	Yes	No	1
Left	2886039.50	5	115	-1	 5798.88	Hartshorne	20	NA	NA	NA	NA	NA	onlysome	UE	"Patricia held^ only some of^ the babies^ in the nursery Friday morning,^ and^ the rest^ she let sleep."	"Was Patricia running a marathon Friday morning?"	No	Yes	No	Yes	1
Left	2892367.23	5	116	-1	 2053.23	Sturt_filler	19	NA	NA	NA	NA	NA	NA	NA	"It was to each other that the artists showed the pieces they were working on."	"Was this sentence about opera singers?"	No	Yes	No	Yes	1
Right	2901790.94	5	117	-1	 2996.78	Sturt	20	NA	NA	reciprocal	the	pl	NA	NA	"It was to^ each other^ that^ the^ very dashing^ captains^ wanted^ the sailors^ to demonstrate^ some sailing techniques."	"What were the captains like?"	Dashing	Boring	Boring	Dashing	1
Left	2911303.79	5	118	-1	 4226.67	Sturt	56	NA	NA	reciprocal	the	sg	NA	NA	"It was to^ each other^ that^ the^ hotshot new^ boss^ told^ the actuaries^ to forward^ all the correspondence."	"Were any bosses mentioned in this sentence?"	Yes	No	Yes	No	1
Right	2922480.71	5	119	-1	 5697.58	Sturt	50	NA	NA	reciprocal	demonstrative	pl	NA	NA	"It was to^ each other^ that^ these^ recently hired^ consultants^ advised^ the businessmen^ to clarify^ their market strategies."	"What were the businessmen supposed to clarify?"	"Their strategies"	"Their corporate structure"	"Their corporate structure"	"Their strategies"	1
Right	2935599.92	5	120	-1	 8062.67	Sturt	16	NA	NA	reciprocal	the	sg	NA	NA	"It was to^ each other^ that^ the^ somewhat excited^ child^ expected^ the archaeologists^ to describe^ the ancient artefacts."	"Was a hospital mentioned in this sentence?"	No	Yes	Yes	No	1
Left	2942607.85	5	121	-1	 1944.84	Hartshorne_filler-DE-all	68	NA	NA	NA	NA	NA	NA	NA	"If Luke carried all of the luggage, then he would get worn out."	"Would carrying the luggage make Luke tired?"	Yes	No	Yes	No	1
Left	2953456.28	5	122	-1	 4869.29	Hartshorne_filler-UE-none	65	NA	NA	NA	NA	NA	NA	NA	"Julian brought none of his paintings to show to the famous collector, and the collector felt snubbed."	"Whose paintings did the collector want to see?"	Julian's	Matthew's	Julian's	Matthew's	1
Left	2963703.44	5	123	-1	 3284.45	Sturt_filler	17	NA	NA	NA	NA	NA	NA	NA	"It was to each other that the administrators wanted to clarify the new procedures."	"Were the procedures old?"	No	Yes	No	Yes	1
Right	2973848.68	5	124	-1	 2948.40	Hartshorne	17	NA	NA	NA	NA	NA	some	UE	"Jose provided^ some of^ the funds^ for the famous research institute,^ and^ the rest^ will come from the government."	"Was the research institute well-known?"	No	Yes	No	Yes	1
Left	2984960.47	5	125	-1	 5040.06	Enrich	30	event	entity	NA	NA	NA	NA	NA	"The casting director^ preferred^ the performer^ that the producer had asked for."	"Was this sentence about somebody reviewing a new film?"	No	Yes	No	Yes	1
Right	2996735.81	5	126	-1	 6031.11	Hartshorne	21	NA	NA	NA	NA	NA	some	UE	"Richard asked^ some of^ the children^ which book they liked best,^ and^ the rest^ he asked about foods."	"Who was Richard questioning?"	Children	Grandmothers	Grandmothers	Children	1
Left	3007198.92	5	127	-1	 2495.54	Hartshorne_filler-DE-some	24	NA	NA	NA	NA	NA	NA	NA	"If Paul reached some of the shelves that were in the cabinet, then he got what he needed."	"Were the things Paul needed sitting out on the countertop?"	No	Yes	No	Yes	1
Right	3020048.30	5	128	-1	 4427.71	Sturt	25	NA	NA	conjunct	the	sg	NA	NA	"It was to^ Tim and Jane^ that^ the^ quite bossy^ actor^ persuaded^ the men^ to mail^ the new reviews."	"Were snakes mentioned in this sentence?"	No	Yes	Yes	No	1
Left	3029935.03	5	129	-1	 4391.02	Sturt	61	NA	NA	conjunct	the	pl	NA	NA	"It was to^ Stan and Quinn^ that^ the^ understandably impatient^ backers^ expected^ the inventors^ to disclose^ the test results."	"Were any economists mentioned in this sentence?"	No	Yes	No	Yes	1
Right	3040191.14	5	130	-1	 3578.30	Sturt	13	NA	NA	conjunct	the	pl	NA	NA	"It was to^ Jan and Gail^ that^ the^ very concerned^ headmasters^ expected^ the chancellors^ to communicate^ the university rules."	"What did the headmasters want the chancellors to communicate?"	"The rules"	"The news"	"The news"	"The rules"	1
Right	3052831.43	5	131	-1	 7339.63	Hartshorne_filler-DE-onlysome	46	NA	NA	NA	NA	NA	NA	NA	"If Logan stopped only some of the flights in order to do extra maintenance, then the weather must not have been too bad."	"What was Logan stopping?"	Flights	Cars	Cars	Flights	1
Right	3064023.23	5	132	-1	 5380.24	Hartshorne_filler-UE-onlysome	28	NA	NA	NA	NA	NA	NA	NA	"Ruth allowed only some of the suspects to bribe her with money, and she was discreet enough that she never got caught."	"Was Ruth ever caught for her heinous crimes?"	No	Yes	Yes	No	1
Right	3076447.05	5	133	-1	 7573.56	Hartshorne_filler-UE-onlysome	35	NA	NA	NA	NA	NA	NA	NA	"Bryan contributed only some of the funds to build the new library, and he still got thanked personally by the mayor."	"What were the funds for?"	"A new library"	"A new stadium"	"A new stadium"	"A new library"	1
Left	3083240.68	5	134	-1	 1587.05	Sturt_filler	24	NA	NA	NA	NA	NA	NA	NA	"It was to each other that the couple yelled obscenities."	"Did someone yell obscenities?"	Yes	No	Yes	No	1
Left	3093800.00	5	135	-1	 3046.88	Hartshorne_filler-DE-some	15	NA	NA	NA	NA	NA	NA	NA	"If Luke carried some of the luggage across the road and into the house, then he must be worn out."	"Where might Luke have carried the luggage?"	"Across the road"	"Onto the plane"	"Across the road"	"Onto the plane"	1
Left	3101848.57	5	136	-1	 2256.88	Sturt_filler	2	NA	NA	NA	NA	NA	NA	NA	"It was to each other that the kids wanted to give some Christmas presents."	"What did the kids want to give?"	"Christmas presents"	"Birthday presents"	"Christmas presents"	"Birthday presents"	1
Right	3114719.64	5	137	-1	 7228.70	Sturt_filler	3	NA	NA	NA	NA	NA	NA	NA	"It was to each other that the spies gave the secret passcodes."	"What did the spies have?"	Passcodes	Poison	Poison	Passcodes	1
Right	3157439.78	5	138	-1	 6362.89	Hartshorne	40	NA	NA	NA	NA	NA	onlysome	UE	"Nevaeh protected^ only some of^ the cities^ with tanks and artillery,^ and^ the rest^ were left to the enemy."	"Were aircraft mentioned in this sentence?"	No	Yes	Yes	No	1
Left	3166783.04	5	139	-1	 3588.60	Sturt	27	NA	NA	conjunct	demonstrative	pl	NA	NA	"It was to^ Leo and Jim^ that^ these^ very skilled^ cartoonists^ wanted^ the boys^ to describe^ every last picture."	"Who was asked to describe the pictures?"	"Some boys"	"Some women"	"Some boys"	"Some women"	1
Left	3177344.13	5	140	-1	 5701.55	Hartshorne	3	NA	NA	NA	NA	NA	some	DE	"If^ Hailey beat^ some of^ her opponents^ in the competition,^ then^ the rest^ remain to be defeated."	"Who was competing?"	Hailey	Isabella	Hailey	Isabella	1
Left	3186239.87	5	141	-1	 3093.23	Hartshorne_filler-DE-some	14	NA	NA	NA	NA	NA	NA	NA	"If Jayden made some of the mistakes that angered the shareholders, then he will pay for them."	"What might Jayden have made?"	Mistakes	Coffee	Mistakes	Coffee	1
Right	3198016.72	5	142	-1	 6064.79	Hartshorne	19	NA	NA	NA	NA	NA	some	DE	"If^ Sean led^ some of^ the expeditions^ to the ancient ruined city,^ then^ the rest^ were led by Sandra."	"Were the expeditions going to a lively city?"	No	Yes	Yes	No	1
Left	3207208.59	5	143	-1	 3044.22	Sturt_filler	39	NA	NA	NA	NA	NA	NA	NA	"It was to each other that the auditors needed to send the facsimiles."	"Did the auditors need to send facsimiles?"	Yes	No	Yes	No	1
Right	3219399.60	5	144	-1	 5221.82	Hartshorne_filler-DE-all	74	NA	NA	NA	NA	NA	NA	NA	"If Dean looked at all of the baseball cards, then he would know which ones are worth the most."	"What kind of cards was Dean looking at?"	"Baseball cards"	"Playing cards"	"Playing cards"	"Baseball cards"	1
Right	3227976.58	5	145	-1	 3679.97	Enrich	24	event	entity	NA	NA	NA	NA	NA	"The medical doctor^ began^ the chart^ according to her intern."	"What did the doctor begin?"	"The chart"	"The payment"	"The payment"	"The chart"	1
Left	3237488.01	5	146	-1	 3948.54	Hartshorne	13	NA	NA	NA	NA	NA	some	UE	"Hayden took^ some of^ the files^ with him to the office,^ and^ the rest^ are still here."	"Did Hayden throw the files out?"	No	Yes	No	Yes	1
Left	3252008.19	5	147	-1	 6223.26	Sturt	11	NA	NA	conjunct	demonstrative	pl	NA	NA	"It was to^ Ian and Joe^ that^ these^ hard hitting^ journalists^ persuaded^ the officials^ to reveal^ the confidential letters."	"Who was persuaded to reveal letters?"	"The officers"	"The journalists"	"The journalists"	"The officers"	1
Left	3262488.49	5	148	-1	 3253.50	Hartshorne_filler-DE-all	70	NA	NA	NA	NA	NA	NA	NA	"If Tyler cooked all of the food for the party, then the kids must have eaten it."	"What was the food for?"	Party	"Christmas dinner"	Party	"Christmas dinner"	1
Left	3272671.46	5	149	-1	 5070.11	Enrich	40	intension	entity	NA	NA	NA	NA	NA	"The mathematics teacher^ demanded^ the paper^ that the faculty were pestering him about."	"Who was pestering the math teacher?"	"The faculty"	"The dean"	"The dean"	"The faculty"	1
Right	3355087.30	6	150	-1	 3426.26	Sturt_filler	14	NA	NA	NA	NA	NA	NA	NA	"It was to each other that the politicians decided to report their conflicts of interest."	"Who decided to report the conflicts of interes?"	"The politicians"	"The lobbyists"	"The lobbyists"	"The politicians"	1
Left	3363064.52	6	151	-1	 3549.46	Hartshorne_filler-DE-none	83	NA	NA	NA	NA	NA	NA	NA	"If Mary meant none of the things she said, then she would still be more honest than that jerk Nathan."	"Is Nathan a nice guy?"	No	Yes	No	Yes	1
Right	3376694.83	6	152	-1	 6763.91	Sturt	7	NA	NA	conjunct	demonstrative	sg	NA	NA	"It was to^ Jim and Sue^ that^ this^ really nosy^ girl^ urged^ the salesmen^ to give^ really expensive gifts."	"Was the girl nosy?"	Yes	No	Yes	No	1
Left	3388056.12	6	153	-1	 4815.47	Hartshorne	26	NA	NA	NA	NA	NA	onlysome	DE	"If^ Gary captured^ only some of^ the pirates^ that were attacking his ship,^ then^ the rest^ are still at large."	"Is there any possibility that this sentence was about SPACE pirates?"	Yes	No	No	Yes	1
Right	3396583.44	6	154	-1	 3585.34	Enrich	23	intension	event	NA	NA	NA	NA	NA	"The county prosecutor^ wanted^ the hearing^ about the recent murder trial."	"What did the prosecutor want?"	"The hearing"	"The evidence"	"The evidence"	"The hearing"	1
Left	3405832.61	6	155	-1	 4291.53	Hartshorne_filler-DE-onlysome	40	NA	NA	NA	NA	NA	NA	NA	"If Stephanie hung only some of the paintings on the wall in the parlor, then the room will look quite empty."	"What is Stephanie putting up on the wall?"	Paintings	Posters	Paintings	Posters	1
Right	3414544.63	6	156	-1	 3804.19	Sturt_filler	32	NA	NA	NA	NA	NA	NA	NA	"It was to Chase and Marcus that the engineer had to hand over the blueprints."	"Who had to hand over the blueprints?"	"The engineer"	"The contractor"	"The contractor"	"The engineer"	1
Right	3421279.09	6	157	-1	 1785.07	Sturt_filler	7	NA	NA	NA	NA	NA	NA	NA	"It was to each other that the pupils got to show their final projects."	"Did the pupils show off their projects?"	Yes	No	No	Yes	1
Left	3429783.73	6	158	-1	 3890.18	Hartshorne_filler-DE-some	16	NA	NA	NA	NA	NA	NA	NA	"If Tyler cooked some of the food that is needed for the party, then the kids must have eaten it."	"Who must have eaten the food?"	"The kids"	Tyler	"The kids"	Tyler	1
Left	3441103.17	6	159	-1	 6401.37	Sturt	48	NA	NA	reciprocal	the	sg	NA	NA	"It was to^ each other^ that^ the^ newly famous^ whistleblower^ told^ the stakeholders^ to disclose^ any conflicts of interest."	"What did the stakeholders need to disclose?"	"Conflicts of interest."	"Future plans"	"Conflicts of interest."	"Future plans"	1
Left	3451367.07	6	160	-1	 3476.96	Enrich	22	intension	entity	NA	NA	NA	NA	NA	"The film maker^ required^ the actor^ that had been recommended by his friend."	"What did the film maker require?"	"The actor"	"The play"	"The actor"	"The play"	1
Right	3460008.09	6	161	-1	 2180.17	Enrich	36	event	entity	NA	NA	NA	NA	NA	"The schizophrenic patient^ enjoyed^ a dessert^ but the doctor ignored her."	"What did the patient do?"	"Enjoyed a dessert"	"Took medication"	"Took medication"	"Enjoyed a dessert"	1
Right	3467624.72	6	162	-1	 2626.24	Hartshorne	37	NA	NA	NA	NA	NA	some	UE	"Gavin obtained^ some of^ the money^ that was in the account,^ and^ the rest^ continues to accrue interest."	"Was this sentence about global politics?"	No	Yes	Yes	No	1
Right	3477455.37	6	163	-1	 4262.73	Hartshorne_filler-UE-onlysome	30	NA	NA	NA	NA	NA	NA	NA	"Kimberly imagined only some of the rangers could take on the monster, and even those ones would need magic weapons."	"Who was Kimberly thinking might fight the monster?"	Rangers	Wizards	Wizards	Rangers	1
Left	3484480.10	6	164	-1	 2690.52	Sturt_filler	18	NA	NA	NA	NA	NA	NA	NA	"It was to each other that the fishmongers gave the best catches of the day."	"Was this sentence about fishmongers?"	Yes	No	Yes	No	1
Right	3494471.51	6	165	-1	 3954.64	Sturt	36	NA	NA	reciprocal	the	pl	NA	NA	"It was to^ each other^ that^ the^ clearly unqualified^ practitioners^ asked^ the chiropractors^ to give^ muscle massages."	"What kind of massage did they want the chiropractors to give?"	"Muscle massage"	"Sensual massage"	"Sensual massage"	"Muscle massage"	1
Right	3502464.63	6	166	-1	 2544.66	Hartshorne_filler-DE-all	67	NA	NA	NA	NA	NA	NA	NA	"If Landon paid all of his bills, then now he's broke."	"Does Landon have a lot of extra money?"	No	Yes	Yes	No	1
Right	3512047.21	6	167	-1	 4075.49	Hartshorne_filler-UE-none	58	NA	NA	NA	NA	NA	NA	NA	"Kylie studied none of the chapters from her chemistry textbook, and now she feels lost."	"How is Kylie doing in her chemistry class?"	"Not well"	"Very well"	"Very well"	"Not well"	1
Right	3520055.31	6	168	-1	 2797.16	Hartshorne	24	NA	NA	NA	NA	NA	onlysome	UE	"Karen added^ only some of^ the items^ to her shopping cart,^ and^ the rest^ were too expensive."	"Was Karen shopping?"	Yes	No	No	Yes	1
Left	3527280.28	6	169	-1	 2823.33	Enrich	41	intension	event	NA	NA	NA	NA	NA	"The rugby player^ fancied^ a meal^ according to the paparazzi."	"Who reported about the rugby player?"	"The paparazzi"	"The coach"	"The paparazzi"	"The coach"	1
Left	3534704.60	6	170	-1	 2092.17	Hartshorne_filler-DE-all	69	NA	NA	NA	NA	NA	NA	NA	"If Ryan required all of Susan's time, then it would drive her nuts."	"Who might drive Susan nuts?"	Ryan	Luke	Ryan	Luke	1
Left	3543263.53	6	171	-1	 3461.93	Sturt	18	NA	NA	reciprocal	demonstrative	pl	NA	NA	"It was to^ each other^ that^ these^ rather dreamy^ guitarists^ suggested^ the boys^ to sing^ some romantic songs."	"Were the guitarists attractive?"	Yes	No	Yes	No	1
Right	3554368.12	6	172	-1	 5635.80	Hartshorne	42	NA	NA	NA	NA	NA	onlysome	DE	"If^ Kyle tried^ only some of^ the food^ recommended by the native tribespeople,^ then^ the rest^ must have looked too scary."	"Was this sentence about exotic food?"	Yes	No	No	Yes	1
Left	3564478.87	6	173	-1	 5530.49	Sturt	55	NA	NA	conjunct	demonstrative	sg	NA	NA	"It was to^ Caedmon and Gwen^ that^ this^ devout tribal^ shaman^ beseeched^ the deities^ to show^ mercy."	"Were shamans mentioned in this sentence?"	Yes	No	Yes	No	1
Left	3583431.00	6	174	-1	14455.80	Hartshorne_filler-DE-all	73	NA	NA	NA	NA	NA	NA	NA	"If Polly wanted all of the jeans at the store, then she would have a hard time making up her mind."	"Who was looking at jeans at the store?"	Polly	Pam	Polly	Pam	1
Right	3594071.75	6	175	-1	 5851.37	Enrich	9	neutral	event	NA	NA	NA	NA	NA	"The chamber conductor^ praised^ the concert^ but she was not well prepared."	"Was the conductor ready?"	No	Yes	Yes	No	1
Right	3601248.44	6	176	-1	 2604.79	Hartshorne_filler-DE-onlysome	48	NA	NA	NA	NA	NA	NA	NA	"If Henry let only some of the puppies go out for a walk, then he is a heartless robot."	"Who was in charge of the puppies?"	Henry	Adam	Adam	Henry	1
Right	3608151.96	6	177	-1	 2596.91	Hartshorne_filler-UE-some	2	NA	NA	NA	NA	NA	NA	NA	"Alexa did some of her chores very early in the morning, and then she napped."	"What did Alexa do?"	Chores	Homework	Homework	Chores	1
Right	3618047.91	6	178	-1	 4279.26	Sturt_filler	36	NA	NA	NA	NA	NA	NA	NA	"It was to each other that the snake charmers decided to demonstrate the power of hypnosis."	"Who decided to demonstrate hypnosis?"	"The snake charmers"	"The psychoanalysts"	"The psychoanalysts"	"The snake charmers"	1
Right	3626063.13	6	179	-1	 3258.85	Sturt_filler	29	NA	NA	NA	NA	NA	NA	NA	"It was to Andy and Lisa that the Internet fans sent their fan mail."	"Who did the fans send mail to?"	"Andy and Lisa"	"Edward and Stan"	"Edward and Stan"	"Andy and Lisa"	1
Right	3634295.16	6	180	-1	 2712.72	Sturt_filler	37	NA	NA	NA	NA	NA	NA	NA	"It was to each other that the psychiatrists expressed their concerns about the new drug."	"Did the psychiatrists support the new drug?"	No	Yes	Yes	No	1
Right	3644024.60	6	181	-1	 4503.11	Sturt	21	NA	NA	conjunct	the	pl	NA	NA	"It was to^ Bob and Gary^ that^ the^ frankly conniving^ lawyers^ asked^ the demonstrators^ to express^ their sincere regrets."	"Were any lawyers mentioned in this sentence?"	Yes	No	No	Yes	1
Left	3652600.25	6	182	-1	 3423.71	Hartshorne_filler-DE-none	77	NA	NA	NA	NA	NA	NA	NA	"If David considered none of the applicants, then why did I even waste my time applying?"	"Who was supposed to review the applications?"	David	John	David	John	1
Left	3663920.63	6	183	-1	 6448.93	Hartshorne	15	NA	NA	NA	NA	NA	some	DE	"If^ Ian saw^ some of^ the films^ from the list of potential winners,^ then^ the rest^ he should watch tomorrow."	"Who was watching films?"	Ian	Jackson	Ian	Jackson	1
Left	3672599.29	6	184	-1	 3485.72	Sturt	52	NA	NA	reciprocal	the	pl	NA	NA	"It was to^ each other^ that^ the^ somewhat lazy^ mentors^ told^ the trainees^ to give^ assistance on the projects."	"Was this sentence about trainees?"	Yes	No	Yes	No	1
Right	3715624.44	7	185	-1	 4867.74	Sturt	1	NA	NA	conjunct	the	sg	NA	NA	"It was to^ John and Mary^ that^ the^ very concerned^ parent^ wanted^ the teachers^ to give^ advice about the issue."	"Was a school mentioned in this sentence?"	No	Yes	No	Yes	1
Right	3722767.77	7	186	-1	 2334.67	Hartshorne_filler-UE-all	51	NA	NA	NA	NA	NA	NA	NA	"Ava bore all of the responsibility, and she will face the consequences."	"Was Ava accountable for whatever happened?"	Yes	No	No	Yes	1
Right	3730487.50	7	187	-1	 2689.13	Hartshorne	47	NA	NA	NA	NA	NA	some	DE	"If^ James heard^ some of^ the auditions^ for violin at the hall,^ then^ the rest^ were at the school."	"What auditions were going on?"	Music	Theatre	Theatre	Music	1
Left	3737224.08	7	188	-1	 2260.29	Enrich	26	neutral	entity	NA	NA	NA	NA	NA	"The armored knights^ observed^ the trench^ as they gathered by the castle."	"Did somebody observe the trench?"	Yes	No	Yes	No	1
Left	3746240.20	7	189	-1	 3811.15	Hartshorne	1	NA	NA	NA	NA	NA	some	UE	"Avery fought^ some of^ the attackers^ as well as she was able,^ and^ the rest^ were Sally's responsibility."	"Who was fighting the attackers?"	Avery	Graham	Avery	Graham	1
Right	3757944.00	7	190	-1	 6866.42	Hartshorne_filler-DE-some	17	NA	NA	NA	NA	NA	NA	NA	"If Amanda recognized some of the exhibits at the museum of modern art, then she would have enjoyed it."	"Who went to the museum?"	Amanda	Holly	Holly	Amanda	1
Left	3766511.12	7	191	-1	 2272.85	Hartshorne_filler-DE-some	19	NA	NA	NA	NA	NA	NA	NA	"If Jill showed some of the delegates the Statue of Liberty, then they can break for lunch."	"Where are the delegates?"	"The United States"	China	"The United States"	China	1
Right	3775023.32	7	192	-1	 3215.36	Sturt_filler	26	NA	NA	NA	NA	NA	NA	NA	"It was to each other that the fishermen decided to reveal their favourite spots."	"Did the fishermen decide to keep their spots secret?"	No	Yes	Yes	No	1
Right	3785007.97	7	193	-1	 5063.23	Hartshorne_filler-UE-onlysome	34	NA	NA	NA	NA	NA	NA	NA	"Angel checked only some of the calculations for typos and other errors, and trusted that everything would be ok."	"Who was checking calculations?"	Angel	Nobody	Nobody	Angel	1
Right	3796864.22	7	194	-1	 5925.57	Sturt_filler	10	NA	NA	NA	NA	NA	NA	NA	"It was to Bill and Sam that the employees wanted to give an end-of-the-year present."	"Who did the employees want to give a present?"	"Bill and Sam"	"Each other"	"Each other"	"Bill and Sam"	1
Right	3807079.97	7	195	-1	 4491.66	Hartshorne_filler-DE-none	80	NA	NA	NA	NA	NA	NA	NA	"If Anthony realized none of the senators were having affairs, then he wouldn't have tried his blackmail campaign."	"What was Anthony trying to do?"	"Blackmail senators"	"Grassroots campaigning"	"Grassroots campaigning"	"Blackmail senators"	1
Left	3814168.53	7	196	-1	 2216.98	Sturt_filler	20	NA	NA	NA	NA	NA	NA	NA	"It was to each other that the frequent flyers wanted to give travel advice."	"Was this sentence about trains?"	No	Yes	No	Yes	1
Right	3822799.31	7	197	-1	 3029.50	Sturt_filler	33	NA	NA	NA	NA	NA	NA	NA	"It was to Beth and Anthony that the truckers had to turn in their licenses."	"Who did the truckers give their licenses to?"	"Beth and Anthony"	"Each other"	"Each other"	"Beth and Anthony"	1
Right	3829232.11	7	198	-1	 1693.07	Enrich	35	intension	event	NA	NA	NA	NA	NA	"The local pastor^ requested^ a funeral^ and stayed at the church."	"What did the local pastor do?"	"Requested a funeral"	"Delivered a sermon"	"Delivered a sermon"	"Requested a funeral"	1
Right	3837168.54	7	199	-1	 3479.47	Hartshorne	14	NA	NA	NA	NA	NA	onlysome	DE	"If^ Jackson completed^ only some of^ his homework^ before the beginning of class,^ then^ the rest^ he'll turn in late."	"Did Jackson have homework?"	Yes	No	No	Yes	1
Right	3843975.86	7	200	-1	 1465.34	Hartshorne_filler-UE-all	53	NA	NA	NA	NA	NA	NA	NA	"Brayden rested all of his dogs, and he rested himself as well."	"Who rested?"	"Both Brayden and the dogs"	"Only the dogs"	"Only the dogs"	"Both Brayden and the dogs"	1
Left	3854631.13	7	201	-1	 5249.76	Sturt	34	NA	NA	reciprocal	demonstrative	pl	NA	NA	"It was to^ each other^ that^ these^ newly tenured^ lecturers^ instructed^ the reviewers^ to submit^ their  evaluations."	"Who had to submit evaluations?"	"The reviewers"	"Susie and Matthew"	"The reviewers"	"Susie and Matthew"	1
Left	3863046.96	7	202	-1	 4028.78	Hartshorne	46	NA	NA	NA	NA	NA	onlysome	DE	"If^ Jane left^ only some of^ the pies^ on the window sill to cool,^ then^ the rest^ are in the oven."	"Who was making pies?"	Jane	Sally	Jane	Sally	1
Right	3871839.66	7	203	-1	 3045.02	Hartshorne	22	NA	NA	NA	NA	NA	onlysome	DE	"If^ Susan included^ only some of^ the ingredients^ into her new recipe,^ then^ the rest^ we can use."	"Are the ingredients shared between Susan and us?"	Yes	No	No	Yes	1
Left	3880191.25	7	204	-1	 2311.30	Enrich	21	neutral	event	NA	NA	NA	NA	NA	"The friendly commuter^ shared^ a ride^ that went towards the train station."	"What did the commuter share?"	"A ride"	"A bike"	"A ride"	"A bike"	1
Right	3893215.77	7	205	-1	 4835.76	Hartshorne	12	NA	NA	NA	NA	NA	onlysome	UE	"Vanessa used^ only some of^ the yarn^ to make a multi-colored coat,^ and^ the rest^ is still in the drawer."	"What was Vanessa making a coat out of?"	Yarn	Polyester	Polyester	Yarn	1
Right	3901174.89	7	206	-1	 2545.92	Enrich	28	intension	entity	NA	NA	NA	NA	NA	"The interior decorator^ wanted^ a mansion^ but wasn't happy about it."	"Was this sentence about somebody selling a house?"	No	Yes	Yes	No	1
Left	3910871.45	7	207	-1	 5164.08	Enrich	25	event	event	NA	NA	NA	NA	NA	"The older sibling^ started^ a fight^ because he was bored."	"Did somebody start an fight?"	Yes	No	Yes	No	1
Left	3920535.71	7	208	-1	 4554.14	Sturt	33	NA	NA	conjunct	the	sg	NA	NA	"It was to^ Mary and Bill^ that^ the^ brand new^ coach^ told^ the teammates^ to give^ their encouragement and support."	"Who was supposed to give encouragement?"	"The teammates"	"A coach"	"The teammates"	"A coach"	1
Right	3933472.41	7	209	-1	 4932.89	Sturt	57	NA	NA	conjunct	the	sg	NA	NA	"It was to^ Max and Aaron^ that^ the^ very careful^ commander^ asked^ the astronauts^ to verify^ their latest calculations."	"Were any commanders mentioned in this sentence?"	Yes	No	No	Yes	1
Right	3944767.48	7	210	-1	 2963.78	Enrich	47	intension	event	NA	NA	NA	NA	NA	"The law student^ wanted^ the hearing^ and informed his supervisor."	"What kind of student was this?"	"Law student"	"Med student"	"Med student"	"Law student"	1
Right	3951215.03	7	211	-1	 2205.94	Hartshorne_filler-UE-some	8	NA	NA	NA	NA	NA	NA	NA	"Connor handled some of the situations with his usual grace, and he's now very experienced."	"Is Connor experienced?"	Yes	No	No	Yes	1
Right	3963128.09	7	212	-1	 6093.69	Hartshorne_filler-UE-some	6	NA	NA	NA	NA	NA	NA	NA	"Gabriella pulled some of the pranks that so maddened the headmaster, and she got into trouble."	"What did Gabriella do to make the headmaster angry?"	"Pull pranks"	"Argue with teachers"	"Argue with teachers"	"Pull pranks"	1
Left	3973735.06	7	213	-1	 1892.32	Sturt_filler	21	NA	NA	NA	NA	NA	NA	NA	"It was to each other that the filmmakers showed the blooper reel."	"What did the filmmakers show?"	Bloopers	"Director's cuts"	Bloopers	"Director's cuts"	1
Left	4015927.62	7	214	-1	 3026.44	Sturt	26	NA	NA	reciprocal	demonstrative	pl	NA	NA	"It was to^ each other^ that^ these^ somewhat talentless^ swimmers^ wanted^ the experts^ to teach^ the latest techniques."	"Was swimming mentioned in this sentence?"	Yes	No	Yes	No	1
